,Accession,date,mutation
19,MT019529,2019-12-23,0
21,LR757995,2019-12-26,214
14,MT291826,2019-12-30,1610
22,LR757997,2019-12-31,1581
13,MT326173,2020,180
20,MT019533,2020-01-01,193
23,MN938384,2020-01-10,27434
16,MT253709,2020-01-21,27433
18,MT066156,2020-01-30,167
7,MT270106,2020-02-01,166
12,MT415375,2020-02-12,90
17,MT184910,2020-02-18,216
15,MT276329,2020-02-28,26173
11,MT419854,2020-03-02,26140
10,MT434806,2020-03-10,400
0,MT509452,2020-03-21,176
2,MT506563,2020-03-28,186
3,MT506565,2020-04-01,185
6,MT503017,2020-04-10,101
4,MT506891,2020-04-18,98
9,MT477904,2020-04-29,80
1,MT509512,2020-05-01,95
8,MT483556,2020-05-05,10743
5,MT502774,2020-05-13,10744
